Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202306,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Pregabalin (0408010AE),83,94.241419238132,839.416665864,839.416665864,13052
202306,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Gabapentin (0408010G0),140,568.039124634416,2590.999998548,1727.33332696,13052
202306,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Pregabalin (0408010AE),274,531.147119548041,5103.033329966,5103.033329966,26961
202306,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Gabapentin (0408010G0),532,1619.89919858778,9131.499995198,6087.666640063,26961
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Pregabalin (0408010AE),147,375.551897158398,2564.699998602,2564.699998602,7858
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Gabapentin (0408010G0),105,443.783912183787,2552.83333212,1701.888881869,7858
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Pregabalin (0408010AE),94,227.382669557314,1993.833332134,1993.833332134,5997
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Gabapentin (0408010G0),137,612.270439488297,3027.083332251,2018.055547525,5997
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Pregabalin (0408010AE),139,208.975882383144,2242.833332099,2242.833332099,10163
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Gabapentin (0408010G0),244,1336.48250830977,5132.749997291,3421.83332106,10163
202306,QHM,00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Pregabalin (0408010AE),12,7.36139218283728,40.99999999,40.99999999,
202306,QHM,00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Gabapentin (0408010G0),7,33.8043054296964,20.749999919,13.833333337,
202306,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Pregabalin (0408010AE),62,114.780635012698,1283.333332736,1283.333332736,5951
202306,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Gabapentin (0408010G0),114,434.894646963058,2453.249999598,1635.499994668,5951
202306,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,Pregabalin (0408010AE),16,25.6393593539112,246.166666452,246.166666452,2016
202306,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,Gabapentin (0408010G0),36,793.908279727611,714.499998549,476.333334009,2016
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,Pregabalin (0408010AE),257,506.97804735282,3850.616664662,3850.616664662,11915
